FlightKey,ReceiveTime,FPLA_Status,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,SIBT,Route,MissionType,MissionProperty
2025-07-08_CHH7665_ZGSY_ZLXY,2025-07-07 10:38:06,SLOTCHG,CHH7665,B1927,ZGSY,ZLXY,202507080005,202507080155,P656 J210 ZHJ W102 SHX,,20
2025-07-08_CYZ9033_ZLXY_ZSNJ,2025-07-06 14:21:00,ADD,CYZ9033,B5576,ZLXY,ZSNJ,202507080005,202507080155,,,20
2025-07-08_CYZ9033_ZLXY_ZSNJ,2025-07-06 17:03:00,ALL,CYZ9033,B2513,ZLXY,ZSNJ,202507080005,202507080155,,,20
2025-07-08_CYZ9033_ZLXY_ZSNJ,2025-07-06 15:51:00,UPD,CYZ9033,B2513,ZLXY,ZSNJ,202507080005,202507080155,,,20
2025-07-08_CYZ9033_ZLXY_ZSNJ,2025-07-07 17:03:00,ALL,CYZ9033,B2513,ZLXY,ZSNJ,202507080005,202507080155,,,20
2025-07-08_CSS7507_ZLXY_ZGGG,2025-07-06 16:58:17,CNL,CSS7507,B2630,ZLXY,ZGGG,202507080030,202507080250,,1.0,20
2025-07-08_CSS7507_ZLXY_ZGGG,2025-07-07 17:03:00,ALL,CSS7507,B2630,ZLXY,ZGGG,202507080030,202507080250,,1.0,20
2025-07-08_OKA2934_ZWWW_ZLXY,2025-07-07 12:33:00,UPD,OKA2934,B1338,ZWWW,ZLXY,202507080030,202507080345,,1.0,20
2025-07-08_CSS7507_ZLXY_ZGGG,2025-07-06 17:03:01,ALL,CSS7507,B2630,ZLXY,ZGGG,202507080030,202507080250,,1.0,20
2025-07-08_GCR7902_ZLXY_ZBTJ,2025-07-07 13:28:13,SLOTCHG,GCR7902,B3172,ZLXY,ZBTJ,202507080035,202507080220,WJC G212 TEKIL W85 OMDEK,,20
2025-07-08_CES2984_ZLXY_ZSCG,2025-07-07 17:37:00,ALL,CES2984,B2410,ZLXY,ZSCG,202507080040,202507080250,,1.0,20
2025-07-08_CES2984_ZLXY_ZSCG,2025-07-07 04:51:32,SLOTCHG,CES2984,B2410,ZLXY,ZSCG,202507080040,202507080250,,1.0,20
2025-07-08_CES2984_ZLXY_ZSCG,2025-07-07 20:23:13,UPD,CES2984,B2410,ZLXY,ZSCG,202507080040,202507080250,K0774S0630 P17 H131 P62 H11 ML/K0796S0750 W118 REVKU H48 FYG B208 HFE/K0750S0570 R343 OLRIS G345 ZJ,1.0,20
2025-07-08_CES2082_VTSP_ZLXY,2025-07-06 17:36:52,ALL,CES2082,B32C5,VTSP,ZLXY,202507080105,202507080620,,1.0,20
2025-07-08_CES2082_VTSP_ZLXY,2025-07-07 17:36:45,ALL,CES2082,B329P,VTSP,ZLXY,202507080105,202507080620,,1.0,20
2025-07-08_CES2082_VTSP_ZLXY,2025-07-06 21:14:03,UPD,CES2082,B329P,VTSP,ZLXY,202507080105,202507080620,,1.0,20
2025-07-08_CES2082_VTSP_ZLXY,2025-07-07 21:03:00,UPD,CES2082,B329P,VTSP,ZLXY,202507080105,202507080620,N0468F330 EMRIT Y99 NONEL Y98 SURMA W42 TOPER A1 SANOT Y15 GUROK A202 SAV/N0466F350 A202 VILAO N639 NAH Q1 NOB R474 TEBAK/K0876S0950 R474 WUY/K0879S0920 R339 P477/K0887S0890 H19 P108/K0881S0920 H19 KWE W3 AGTIS/K0890S0890 W3 DS W4 IGIRO H39 AKD/K0881S0920 H36 NSH,1.0,20
2025-07-08_CES5025_ZLXY_LTFM,2025-07-07 22:12:00,UPD,CES5025,B5920,ZLXY,LTFM,202507080150,202507081200,K0889S0980 TEBIB W541 ADNEN W94 QIY W213 APESU W197 ANDIM/K0876S1040 B215 IBANO G470 AKLAS W192 FKG A368 SARIN/K0861F300 N161 TITIL/K0879F320 N161 RELGE/K0883F360 N161 GASBI/N0477F360 N161 BEKIR L850 ADEKI N644 LAGAS N61 NOLGA UN61 TBN UM11 CRM UL746 ADUMU UT310 NUGBA,1.0,20
2025-07-08_CES5025_ZLXY_LTFM,2025-07-06 17:36:51,ALL,CES5025,B5920,ZLXY,LTFM,202507080150,202507081200,,1.0,20
2025-07-08_CES5025_ZLXY_LTFM,2025-07-07 17:36:44,ALL,CES5025,B5920,ZLXY,LTFM,202507080150,202507081200,,1.0,20
2025-07-08_CCA792_UACC_ZLXY,2025-07-06 17:33:14,ALL,CCA792,B1392,UACC,ZLXY,202507080240,202507080730,,1.0,20
2025-07-08_CCA792_UACC_ZLXY,2025-07-07 21:24:50,UPD,CCA792,B209Q,UACC,ZLXY,202507080240,202507080730,UACC BANO4E BANOS N170 KRG M166 SARIN A368 FKG W188 GOVSA W66 BUVTA B330 BIGUX W214 HO HO11A ZLXY,1.0,20
2025-07-08_CCA792_UACC_ZLXY,2025-07-07 17:33:00,ALL,CCA792,B209Q,UACC,ZLXY,202507080240,202507080730,,1.0,20
2025-07-08_CCA792_UACC_ZLXY,2025-07-06 17:54:00,UPD,CCA792,B1393,UACC,ZLXY,202507080240,202507080730,,1.0,20
2025-07-08_CCA792_UACC_ZLXY,2025-07-07 06:27:09,UPD,CCA792,B209Q,UACC,ZLXY,202507080240,202507080730,,1.0,20
