FlightKey,ReceiveTime,MessageType,FlightNo,New_FlightNo,CraftType,New_CraftType,RegNo,New_RegNo,DepAirport,ArrAirport,New_Destination,New_Alternate_1,New_Alternate_2,New_Departure_Time,New_Route,New_Mission_STS,RawMessage
2025-08-18_AAR347_RKSI_ZLXY,2025-08-18 03:14:25,FPL,AAR347,,321NEO,,HL8364,,RKSI,ZLXY,,,,,,,"(FPL-AAR347-IS
-A21N/M-SDE2E3FGHIJ3J7M3P2RWXYZ/LB1D1
-RKSI0100
-K0867S0980 NOPIK2Y NOPIK Y697 BINIL Y697 AGAVO/K0867S0980 A591 
IKEKA W4 HCH W200 DOVIV/K0861S1040 W55 PAMRU W34 VYK B215 GODON 
W43 GUTRU W47 LOVRA
-ZLXY0234 ZUCK
-PBN/A1B1C1D1L1O1S2 DAT/1FANSP SUR/RSP180 260B DOF/250818 REG/HL8364
 
EET/ZSHA0019 ZBPE0052 ZLHW0156 SEL/ABFS CODE/71C364 OPR/AAR PER/C 
RMK/TCAS II EQUIPPED)"
2025-08-18_CHH7465_ZJHK_ZLXY,2025-08-18 03:59:37,FPL,CHH7465,,A20N,,B32K7,,ZJHK,ZLXY,,,,,,,"(FPL-CHH7465-IS
-A20N/M-SDE1E2E3FGHIM3RWYZ/LB1
-ZJHK0010
-M078S1040 AGTEL W71 LH R339 P477 H19 KWE W3 OVSUS/M078S1010 W3 
DS W4 IGIRO H39 AKD H36 NSH
-ZLXY0233 ZLYL ZHNY
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B32K7 EET/ZGZU0010
 ZPKM0101 
ZLHW0200 SEL/2456 CODE/7821BD OPR/HAINAN AIRLINES RMK/ACAS II AND 
CATII OPERATION)"
2025-08-18_KAL811_RKSI_ZLXY,2025-08-18 04:12:17,FPL,KAL811,,333,,HL8027,,RKSI,ZLXY,,,,,,,"(FPL-KAL811-IS
-A333/H-SDE2FGHIJ3J5M1P2RWXYZ/LB1D1
-RKSI0010
-K0896S1040 DCT NOPIK Y697 AGAVO/K0896S1040 A591 IKEKA W4 HCH W200 
DOVIV W55 PAMRU W34 VYK B215 GODON W43 GUTRU W47 LOVRA
-ZLXY0233 ZBTJ
-PBN/A1B1C1D1L1O1S2T1 DAT/1FANS CPDLCX SUR/RSP180 260B CANMANDATE 
DOF/250818 REG/HL8027 EET/ZSHA0023 ZBPE0055 ZLHW0157 SEL/CPBR
 CODE/71C027 
RMK/TCAS II EQUIPPED)"
2025-08-18_CMS561_UGTB_ZLXY,2025-08-18 04:47:00,FPL,CMS561,,763,,4LCME,,UGTB,ZLXY,,,,,,,"(FPL-CMS561-IS
-B763/H-SDFGHILORUVWXYZ/LB1
-UGTB0345
-N0466F390 DISKA1D DISKA M737 VERCA M747 SUBUT T916 BIMDO M610 ARBOL
 L728 KAMUD/K0869S1130 
W186 SADAN W187 TUSLI W112 VIKUP W191 AVBUD/K0918S0810 W191 DNC W565
 
BIGUX W214 HO
-ZLXY0604 ZUTF
-PBN/A1B1C2D2L1O1S1 DAT/CPDLCX SUR/260B DOF/250818 REG/4LCME
 EET/UBBA0007 
UATT0041 UTTR0106 UAII0133 UCFM0236 ZWUQ0304 ZLHW0410 SEL/JKMS
 CODE/A4A476 
OPR/CAMEX AIRLINES RMK/ACAS TCAS 71 EQUIPPED FERRY FLIGHT GEORGIA 
GEO217025CH KAZAKSTAN APPROVED UZBEKISTAN 0725633 KYRGYZSTAN
 902407GCB 
CHINA CAD2025S2560 DELAYED FROM CMS561 WITH ORIGINAL DATE 17 AUG 
PKT DAY 1 PERMIT TAXI 0010)"
2025-08-18_CSN3761_ZGSD_ZLXY,2025-08-18 06:26:27,CHG,CSN3761,,,,,B1240,ZGSD,ZLXY,,,,,"K0780S0840 GUBLO W21 CEN/K0799S0810 W21 NUSLA/K0800S0780 W22  TEPID/K0799S0840  W24 OSNOV G586 SJG/K0791S0810 W102 SHX",,"(CHG-CSN3761-ZGSD0005-ZLXY-DOF/250818
-10/SADE2E3FGHIJ3J4J5LM1ORVWYZ/LB1D1
-15/K0780S0840 GUBLO W21 CEN/K0799S0810 W21 NUSLA/K0800S0780 W22
 TEPID/K0799S0840 
W24 OSNOV G586 SJG/K0791S0810 W102 SHX
-18/PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B1240
 EET/ZHWH0127 
ZLHW0149 SEL/HQJL CODE/78135E PER/C RMK/ACASII HUD)"
2025-08-18_CES2796_ZLXY_ZSNJ,2025-08-18 06:32:55,FPL,CES2796,,A20N,,B32J9,,ZLXY,ZSNJ,,,,,,,"(FPL-CES2796-IS
-A20N/M-SDE1E2E3FGHIM1RWY/LB1
-ZLXY0250
-K0866S0750 P17 H131 P62 H11 ML W118 REVKU H48 FYG B208 
P343/K0765S0450 B208 HFE W51 LEGIV W164 OREVO
-ZSNJ0133 ZSOF
-PBN/A1B1C1D1L1O1S2 SUR/260B DOF/250818 REG/B32J9 EET/ZHWH0021
 ZSHA0057 
SEL/DMAS CODE/782198 RMK/TCAS II)"
2025-08-18_CPA946_VHHH_ZLXY,2025-08-18 07:00:46,FPL,CPA946,,333,,BHLT,,VHHH,ZLXY,,,,,,,"(FPL-CPA946-IS
-A333/H-SDE3FGHIJ3J7M3RWYZ/LB1D1
-VHHH0310
-K0882S0690 BEKOL/K0882S1160 A461 SHL W22 TEPID W24 OSNOV G586 QP 
B330 ELKAL W179 LEBIV/K0872S1220 W179 IGNAK/K0867S1250 W179 WFX 
W81 MAKVI/K0883S1070 W81 NSH
-ZLXY0244 ZUTF
-PBN/A1B1C1D1L1O1S2 NAV/RNP2 DAT/CPDLCX DOF/250818 REG/BHLT
 EET/ZGZU0012 
ZPKM0104 ZLHW0215 SEL/EGHK CODE/78019C OPR/CPA PER/D RMK/TCAS)"
2025-08-18_CSZ9203_ZGSZ_ZLXY,2025-08-18 07:04:26,FPL,CSZ9203,,320NEO,,B309Q,,ZGSZ,ZLXY,,,,,,,"(FPL-CSZ9203-IS
-A20N/M-SDE2E3FGHIRWYZ/LB1
-ZGSZ0240
-M078S0980 MIPAG W21 NUSLA W22 TEPID W24 OSNOV G586 QP B330 
SJG/M078S0950 W102 SHX
-ZLXY0211 ZHCC
-PBN/A1B1C1D1L1O1S2 NAV/ABAS DOF/250818 REG/B309Q EET/ZHWH0125
 ZLHW0147 
SEL/FHBL CODE/781711 PER/C RMK/TCAS AOC PHONE 008675527777352)"
2025-08-18_CCA8106_ZLXY_ZBHH,2025-08-18 07:27:40,FPL,CCA8106,,AJ27,,B605U,,ZLXY,ZBHH,,,,,,,"(FPL-CCA8106-IS
-AJ27/M-SDE1E2E3FGHIRWYZ/LB1
-ZLXY0305
-K0850S0890 WJC W193 ALGOV W101 VALNI
-ZBHH0115 ZBYN
-PBN/A1B1C1D1L1O1S2 NAV/ABAS RNP2 DOF/250818 REG/B605U EET/ZBPE0038 
SEL/HSJM CODE/781923 RMK/TCAS)"
2025-08-18_CDC8153_ZLXY_ZWSH,2025-08-18 07:44:31,FPL,CDC8153,,A21N,,B32AN,,ZLXY,ZWSH,,,,,,,"(FPL-CDC8153-IS
-A21N/M-SDE1FGHIM3RWY/LB2
-ZLXY0250
-K0857S0920 TEBIB W541 OVKAB W94 XFG W213 APESU W197 ANDIM B215 
TODOD W112 TUSLI W187 SADAN W186 AKS W176 KHG
-ZWSH0407 ZWAK
-PBN/A1B1C1D1L1O1S2 DOF/250818 REG/B32AN EET/ZWUQ0226 SEL/HPAK
 CODE/781E0A 
OPR/ZHEJIANGLOONGAIR RALT/ZLXY ZLDH RMK/HUD I CAT II ACAS II AOC 
TEL 057182352500 OR 057181689590)"
