FlightKey,ReceiveTime,FlightNo,RegNo,CraftType,DepAirport,ArrAirport,FODC_ATOT
2025-08-03_CBG8811_ZGNN_ZLXY,20250804011807,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8811_ZLXY_ZLYL,20250804011758,CBG8811,B32J1,A320,ZLXY,ZLYL,202508031130
2025-08-03_CBG8811_ZGNN_ZLXY,20250804004023,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8811_ZGNN_ZLXY,20250804002126,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8811_ZLXY_ZLYL,20250803123117,CBG8811,B32J1,A320,ZLXY,ZLYL,202508031130
2025-08-03_CBG8811_ZLXY_ZLYL,20250803122739,CBG8811,B32J1,A320,ZLXY,ZLYL,202508031130
2025-08-03_CBG8811_ZLXY_ZLYL,20250803120606,CBG8811,B32J1,A320,ZLXY,ZLYL,202508031130
2025-08-03_CBG8811_ZLXY_ZLYL,20250803113803,CBG8811,B32J1,A320,ZLXY,ZLYL,202508031130
2025-08-03_CBG8811_ZGNN_ZLXY,20250803102357,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8811_ZGNN_ZLXY,20250803100623,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8811_ZGNN_ZLXY,20250803080819,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8811_ZGNN_ZLXY,20250803080330,CBG8811,B32J1,A320,ZGNN,ZLXY,202508030754
2025-08-03_CBG8812_ZLYL_ZLXY,20250804011338,CBG8812,B32J1,A320,ZLYL,ZLXY,202508031314
2025-08-03_CBG8812_ZLXY_ZGNN,20250803175751,CBG8812,B32J1,A320,ZLXY,ZGNN,202508031529
2025-08-03_CBG8812_ZLXY_ZGNN,20250803174015,CBG8812,B32J1,A320,ZLXY,ZGNN,202508031529
2025-08-03_CBG8812_ZLXY_ZGNN,20250803161048,CBG8812,B32J1,A320,ZLXY,ZGNN,202508031529
2025-08-03_CBG8812_ZLXY_ZGNN,20250803154034,CBG8812,B32J1,A320,ZLXY,ZGNN,202508031529
2025-08-03_CBG8812_ZLXY_ZGNN,20250803153547,CBG8812,B32J1,A320,ZLXY,ZGNN,202508031529
2025-08-03_CBG8812_ZLYL_ZLXY,20250803143416,CBG8812,B32J1,A320,ZLYL,ZLXY,202508031314
2025-08-03_CBG8812_ZLYL_ZLXY,20250803141827,CBG8812,B32J1,A320,ZLYL,ZLXY,202508031314
2025-08-03_CBG8812_ZLYL_ZLXY,20250803141302,CBG8812,B32J1,A320,ZLYL,ZLXY,202508031314
2025-08-03_CBG8812_ZLYL_ZLXY,20250803132647,CBG8812,B32J1,A320,ZLYL,ZLXY,202508031314
2025-08-03_CBG8812_ZLYL_ZLXY,20250803132059,CBG8812,B32J1,A320,ZLYL,ZLXY,202508031314
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250804062012,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZJHK_ZGCZ,20250804061413,CBJ5035,B6180,A319,ZJHK,ZGCZ,202508031341
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250804061410,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250803180234,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250803174351,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250803170856,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250803161617,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250803161041,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZJHK_ZGCZ,20250803161020,CBJ5035,B6180,A319,ZJHK,ZGCZ,202508031341
2025-08-03_CBJ5035_ZGCZ_ZLXY,20250803160451,CBJ5035,B6180,A319,ZGCZ,ZLXY,202508031553
2025-08-03_CBJ5035_ZJHK_ZGCZ,20250803153008,CBJ5035,B6180,A319,ZJHK,ZGCZ,202508031341
2025-08-03_CBJ5035_ZJHK_ZGCZ,20250803151208,CBJ5035,B6180,A319,ZJHK,ZGCZ,202508031341
2025-08-03_CBJ5035_ZJHK_ZGCZ,20250803141204,CBJ5035,B6180,A319,ZJHK,ZGCZ,202508031341
