FlightKey,ReceiveTime,FlightNo,RegNo,DepAirport,ArrAirport,SOBT,CraftType
2025-08-24_CBG8811_ZLXY_ZLYL,20250825011850,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250825011713,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824122814,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824121755,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824121235,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824113146,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824111956,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824111447,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824103245,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824101832,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824090543,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824080553,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824075742,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824075329,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZLXY_ZLYL,20250824064956,CBG8811,B32J1,ZLXY,ZLYL,202508241115,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824042143,CBG8811,B32J1,ZGNN,ZLXY,202508240750,A320
2025-08-24_CBG8811_ZGNN_ZLXY,20250824002738,CBG8811,,ZGNN,ZLXY,202508240750,
2025-08-24_CBG8811_ZLXY_ZLYL,20250824002650,CBG8811,,ZLXY,ZLYL,202508241115,
2025-08-24_CBG8811_ZLXY_ZLYL,20250823183043,CBG8811,,ZLXY,ZLYL,202508241115,
2025-08-24_CBG8811_ZGNN_ZLXY,20250823182956,CBG8811,,ZGNN,ZLXY,202508240750,
2025-08-24_CBG8811_ZGNN_ZLXY,20250823001019,CBG8811,,ZGNN,ZLXY,202508240750,
2025-08-24_CBG8811_ZLXY_ZLYL,20250823000911,CBG8811,,ZLXY,ZLYL,202508241115,
2025-08-24_CBG8812_ZLYL_ZLXY,20250825011033,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824180628,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824180153,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824175612,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824160633,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824154901,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824154033,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824153530,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824153019,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824144404,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824143428,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824142408,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824140618,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824133420,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824132829,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824131628,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824131140,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLXY_ZGNN,20250824111956,CBG8812,B32J1,ZLXY,ZGNN,202508241515,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824080634,CBG8812,B32J1,ZLYL,ZLXY,202508241305,A320
2025-08-24_CBG8812_ZLYL_ZLXY,20250824003537,CBG8812,,ZLYL,ZLXY,202508241305,
2025-08-24_CBG8812_ZLXY_ZGNN,20250824002634,CBG8812,,ZLXY,ZGNN,202508241515,
2025-08-24_CBG8812_ZLXY_ZGNN,20250823182946,CBG8812,,ZLXY,ZGNN,202508241515,
2025-08-24_CBG8812_ZLYL_ZLXY,20250823182553,CBG8812,,ZLYL,ZLXY,202508241305,
2025-08-24_CBG8812_ZLYL_ZLXY,20250823001813,CBG8812,,ZLYL,ZLXY,202508241305,
2025-08-24_CBG8812_ZLXY_ZGNN,20250823000847,CBG8812,,ZLXY,ZGNN,202508241515,
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824184353,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824183752,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824182424,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824181804,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824170746,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824165208,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824164609,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZJHK_ZGCZ,20250824164604,CBJ5035,B6402,ZJHK,ZGCZ,202508241330,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824163612,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
2025-08-24_CBJ5035_ZGCZ_ZLXY,20250824161135,CBJ5035,B6402,ZGCZ,ZLXY,202508241550,A319
