FlightKey,ReceiveTime,FPLA_Status,FlightNo,RegNo,CraftType,SOBT,SIBT,DepAirport,ArrAirport,APTSOBT,APTSIBT,APTDEPAP,APTARRAP,Route
2025-08-18_TBA6071_ZLXY_ZSHC,20250815000302,ALL,TBA6071,B32AK,A19N,202508180625,202508180830,ZLXY,ZSHC,202508180625,202508180830,ZLXY,ZSHC,
2025-08-18_TBA6059_ZLXY_ZURK,20250815000302,ALL,TBA6059,B32C1,A19N,202508180645,202508181005,ZLXY,ZURK,202508180645,202508181005,ZLXY,ZURK,
2025-08-18_TBA6055_ZLXY_ZUNZ,20250815000302,ALL,TBA6055,unAvbl,A319,202508180720,202508181020,ZLXY,ZUNZ,202508180720,202508181020,ZLXY,ZUNZ,
2025-08-18_TBA6061_ZLXY_ZULS,20250815000302,ALL,TBA6061,B300W,A319,202508180720,202508181025,ZLXY,ZULS,202508180720,202508181025,ZLXY,ZULS,
2025-08-18_TBA6031_ZLXY_ZPLJ,20250815000302,ALL,TBA6031,B306S,A319,202508180725,202508180955,ZLXY,ZPLJ,202508180725,202508180955,ZLXY,ZPLJ,
2025-08-18_TBA6053_ZLXY_ZUBD,20250815000302,ALL,TBA6053,B6475,A319,202508180745,202508181010,ZLXY,ZUBD,202508180745,202508181010,ZLXY,ZUBD,
2025-08-18_TBA9963_ZULS_ZLXY,20250815000302,ALL,TBA9963,B32C0,A19N,202508180820,202508181115,ZULS,ZLXY,202508180820,202508181115,ZULS,ZLXY,
2025-08-18_TBA6011_ZLXY_ZPDL,20250815000302,ALL,TBA6011,B32AJ,A19N,202508180925,202508181140,ZLXY,ZPDL,202508180925,202508181140,ZLXY,ZPDL,
2025-08-18_TBA6072_ZSHC_ZLXY,20250815000303,ALL,TBA6072,B32AK,A19N,202508181005,202508181235,ZSHC,ZLXY,202508181005,202508181235,ZSHC,ZLXY,
2025-08-18_TBA6060_ZURK_ZLXY,20250815000303,ALL,TBA6060,B32C1,A19N,202508181045,202508181355,ZURK,ZLXY,202508181045,202508181355,ZURK,ZLXY,
2025-08-18_TBA6054_ZUBD_ZLXY,20250815000303,ALL,TBA6054,B6475,A319,202508181100,202508181305,ZUBD,ZLXY,202508181100,202508181305,ZUBD,ZLXY,
2025-08-18_TBA6056_ZUNZ_ZLXY,20250815000303,ALL,TBA6056,unAvbl,A319,202508181100,202508181320,ZUNZ,ZLXY,202508181100,202508181320,ZUNZ,ZLXY,
2025-08-18_TBA9964_ZLXY_ZULS,20250815000303,ALL,TBA9964,B32C0,A19N,202508181210,202508181520,ZLXY,ZULS,202508181210,202508181520,ZLXY,ZULS,
2025-08-18_TBA6012_ZPDL_ZLXY,20250815000303,ALL,TBA6012,B32AJ,A19N,202508181220,202508181435,ZPDL,ZLXY,202508181220,202508181435,ZPDL,ZLXY,
2025-08-18_TBA6039_ZLXY_ZGSZ,20250815000303,ALL,TBA6039,B32AK,A19N,202508181335,202508181620,ZLXY,ZGSZ,202508181335,202508181620,ZLXY,ZGSZ,
2025-08-18_TBA6047_ZLXY_ZPZT,20250815000303,ALL,TBA6047,B6475,A319,202508181420,202508181625,ZLXY,ZPZT,202508181420,202508181625,ZLXY,ZPZT,
2025-08-18_TBA6105_ZLXY_ZPJH,20250815000303,ALL,TBA6105,B32C1,A19N,202508181505,202508181755,ZLXY,ZPJH,202508181505,202508181755,ZLXY,ZPJH,
2025-08-18_TBA6062_ZULS_ZLXY,20250815000303,ALL,TBA6062,B32C0,A19N,202508181600,202508181845,ZULS,ZLXY,202508181600,202508181845,ZULS,ZLXY,
2025-08-18_TBA9963_ZLXY_ZSNT,20250815000303,ALL,TBA9963,B32AJ,A19N,202508181705,202508181915,ZLXY,ZSNT,202508181705,202508181915,ZLXY,ZSNT,
